FIPS,State,County,perc_fair_poor_health,perc_smokers,perc_obese,perc_phys_inactive,perc_uninsured,pcp_rate,other_pcp_rate,prev_hosp_rate_medicare,perc_unemployed,air_pollution,age_adjusted_mortality,perc_diab,perc_insuf_sleep,health_costs,med_house_income,bw_seg,wnw_seg,Population,perc_18_down,perc_65_up,perc_afr_am,perc_nat_am_as,perc_asian,perc_nh_opi,perc_hisp,perc_nonhisp_white,perc_not_eng_prof,perc_fem,perc_rural
01001,Alabama,Autauga,18,19,36,31,9,45,29,82,5.3,10.8,450,12,36,10674,54487,26,24,55416,24.4,14.7,19.0,0.5,1.1,0.1,2.7,75.0,0.8,51.3,42.0
01003,Alabama,Baldwin,18,17,29,25,12,73,44,46,5.4,9.6,351,11,33,9537,56460,44,31,208563,21.7,19.7,9.0,0.8,1.1,0.1,4.4,83.2,0.8,51.5,42.3
01005,Alabama,Barbour,26,22,44,31,13,42,27,58,8.6,10.1,434,18,39,9791,32884,26,22,25965,21.1,18.0,47.5,0.6,0.5,0.2,4.2,46.5,1.5,46.9,67.8
01007,Alabama,Bibb,20,20,38,38,12,53,75,93,6.6,10.5,529,15,38,10756,43079,43,42,22643,20.8,15.4,21.6,0.4,0.2,0.1,2.5,74.4,0.4,46.4,68.4
01009,Alabama,Blount,21,20,36,29,14,21,12,58,5.5,11.3,480,14,36,10326,47213,40,24,57704,23.2,18.0,1.4,0.6,0.3,0.1,9.1,87.5,1.9,50.6,90.0
01011,Alabama,Bullock,29,23,40,30,15,28,77,67,7.2,9.8,582,20,45,10314,34278,20,19,10362,21.3,16.3,69.3,0.9,0.3,0.7,7.8,21.5,1.0,46.0,51.4
01013,Alabama,Butler,27,22,36,34,12,35,55,93,7.1,9.4,603,18,42,10176,35409,30,29,19998,23.6,19.0,44.1,0.4,1.1,0.1,1.3,52.2,0.9,53.4,71.2
01015,Alabama,Calhoun,20,20,36,33,11,65,51,73,6.7,11.6,564,16,41,10901,41778,47,42,114611,21.8,16.9,20.7,0.5,0.9,0.1,3.6,72.6,0.7,51.9,33.7
01017,Alabama,Chambers,25,22,38,33,13,47,15,62,5.5,10.4,529,16,37,9257,39530,29,30,33843,21.2,19.1,39.3,0.3,1.1,0.1,2.3,56.0,0.4,52.0,49.1
01019,Alabama,Cherokee,19,19,36,36,12,39,47,77,5.2,10.8,546,13,35,11470,41456,26,20,25725,19.8,22.0,4.3,0.6,0.3,0.0,1.6,91.7,0.1,50.4,85.7
