date,county,state,fips,cases,deaths
2020-05-14,Autauga,Alabama,1001.0,104,4
2020-05-14,Baldwin,Alabama,1003.0,243,8
2020-05-14,Barbour,Alabama,1005.0,74,1
2020-05-14,Bibb,Alabama,1007.0,46,1
2020-05-14,Blount,Alabama,1009.0,45,0
2020-05-14,Bullock,Alabama,1011.0,28,1
2020-05-14,Butler,Alabama,1013.0,249,8
2020-05-14,Calhoun,Alabama,1015.0,128,3
2020-05-14,Chambers,Alabama,1017.0,326,22
2020-05-14,Cherokee,Alabama,1019.0,25,0
2020-05-14,Chilton,Alabama,1021.0,74,1
2020-05-14,Choctaw,Alabama,1023.0,77,3
2020-05-14,Clarke,Alabama,1025.0,68,2
2020-05-14,Clay,Alabama,1027.0,27,2
2020-05-14,Cleburne,Alabama,1029.0,13,1
2020-05-14,Coffee,Alabama,1031.0,159,1
2020-05-14,Colbert,Alabama,1033.0,79,2
2020-05-14,Conecuh,Alabama,1035.0,17,0
2020-05-14,Coosa,Alabama,1037.0,34,1
2020-05-14,Covington,Alabama,1039.0,56,1
2020-05-14,Crenshaw,Alabama,1041.0,50,1
2020-05-14,Cullman,Alabama,1043.0,67,0
2020-05-14,Dale,Alabama,1045.0,53,0
2020-05-14,Dallas,Alabama,1047.0,132,3
2020-05-14,DeKalb,Alabama,1049.0,185,2
2020-05-14,Elmore,Alabama,1051.0,169,6
2020-05-14,Escambia,Alabama,1053.0,39,3
2020-05-14,Etowah,Alabama,1055.0,198,10
2020-05-14,Fayette,Alabama,1057.0,10,0
2020-05-14,Franklin,Alabama,1059.0,288,3
2020-05-14,Geneva,Alabama,1061.0,18,0
2020-05-14,Greene,Alabama,1063.0,76,4
2020-05-14,Hale,Alabama,1065.0,79,2
2020-05-14,Henry,Alabama,1067.0,35,1
2020-05-14,Houston,Alabama,1069.0,125,4
2020-05-14,Jackson,Alabama,1071.0,60,2
2020-05-14,Jefferson,Alabama,1073.0,1237,69
2020-05-14,Lamar,Alabama,1075.0,14,0
2020-05-14,Lauderdale,Alabama,1077.0,109,2
2020-05-14,Lawrence,Alabama,1079.0,28,0
2020-05-14,Lee,Alabama,1081.0,447,30
2020-05-14,Limestone,Alabama,1083.0,62,0
2020-05-14,Lowndes,Alabama,1085.0,117,9
2020-05-14,Macon,Alabama,1087.0,53,2
2020-05-14,Madison,Alabama,1089.0,272,4
2020-05-14,Marengo,Alabama,1091.0,97,5
2020-05-14,Marion,Alabama,1093.0,101,9
2020-05-14,Marshall,Alabama,1095.0,599,9
2020-05-14,Mobile,Alabama,1097.0,1608,98
2020-05-14,Monroe,Alabama,1099.0,18,2
2020-05-14,Montgomery,Alabama,1101.0,753,20
2020-05-14,Morgan,Alabama,1103.0,104,1
2020-05-14,Perry,Alabama,1105.0,19,0
2020-05-14,Pickens,Alabama,1107.0,71,2
2020-05-14,Pike,Alabama,1109.0,103,0
2020-05-14,Randolph,Alabama,1111.0,118,7
2020-05-14,Russell,Alabama,1113.0,91,0
2020-05-14,Shelby,Alabama,1117.0,390,19
2020-05-14,St. Clair,Alabama,1115.0,88,1
2020-05-14,Sumter,Alabama,1119.0,115,4
2020-05-14,Talladega,Alabama,1121.0,76,2
2020-05-14,Tallapoosa,Alabama,1123.0,345,56
2020-05-14,Tuscaloosa,Alabama,1125.0,319,8
2020-05-14,Walker,Alabama,1127.0,116,0
2020-05-14,Washington,Alabama,1129.0,59,5
2020-05-14,Wilcox,Alabama,1131.0,89,5
2020-05-14,Winston,Alabama,1133.0,27,1
2020-05-14,Anchorage,Alaska,2020.0,199,4
2020-05-14,Bethel Census Area,Alaska,2050.0,1,0
2020-05-14,Fairbanks North Star Borough,Alaska,2090.0,85,2
2020-05-14,Juneau City and Borough,Alaska,2110.0,29,0
2020-05-14,Kenai Peninsula Borough,Alaska,2122.0,23,1
2020-05-14,Ketchikan Gateway Borough,Alaska,2130.0,16,0
2020-05-14,Kodiak Island Borough,Alaska,2150.0,1,0
2020-05-14,Matanuska-Susitna Borough,Alaska,2170.0,21,1
2020-05-14,Nome Census Area,Alaska,2180.0,1,0
2020-05-14,Petersburg Borough,Alaska,2195.0,3,0
2020-05-14,Prince of Wales-Hyder Census Area,Alaska,2198.0,2,0
2020-05-14,Sitka City and Borough,Alaska,2220.0,1,0
2020-05-14,Southeast Fairbanks Census Area,Alaska,2240.0,3,0
2020-05-14,Valdez-Cordova Census Area,Alaska,2261.0,1,0
2020-05-14,Yukon-Koyukuk Census Area,Alaska,2290.0,1,0
2020-05-14,Apache,Arizona,4001.0,859,12
2020-05-14,Cochise,Arizona,4003.0,44,1
2020-05-14,Coconino,Arizona,4005.0,795,59
2020-05-14,Gila,Arizona,4007.0,21,1
2020-05-14,Graham,Arizona,4009.0,21,0
2020-05-14,Greenlee,Arizona,4011.0,2,0
2020-05-14,La Paz,Arizona,4012.0,27,2
2020-05-14,Maricopa,Arizona,4013.0,6599,292
2020-05-14,Mohave,Arizona,4015.0,220,26
2020-05-14,Navajo,Arizona,4017.0,1150,43
2020-05-14,Pima,Arizona,4019.0,1696,152
2020-05-14,Pinal,Arizona,4021.0,650,28
2020-05-14,Santa Cruz,Arizona,4023.0,62,0
2020-05-14,Yavapai,Arizona,4025.0,243,4
2020-05-14,Yuma,Arizona,4027.0,285,4
2020-05-14,Arkansas,Arkansas,5001.0,2,0
2020-05-14,Ashley,Arkansas,5003.0,18,0
2020-05-14,Baxter,Arkansas,5005.0,6,0
2020-05-14,Benton,Arkansas,5007.0,136,0
2020-05-14,Boone,Arkansas,5009.0,4,0
2020-05-14,Bradley,Arkansas,5011.0,12,1
2020-05-14,Carroll,Arkansas,5015.0,6,0
2020-05-14,Chicot,Arkansas,5017.0,10,0
2020-05-14,Clark,Arkansas,5019.0,35,0
2020-05-14,Clay,Arkansas,5021.0,3,0
2020-05-14,Cleburne,Arkansas,5023.0,72,4
2020-05-14,Cleveland,Arkansas,5025.0,15,0
2020-05-14,Columbia,Arkansas,5027.0,15,2
2020-05-14,Conway,Arkansas,5029.0,14,1
2020-05-14,Craighead,Arkansas,5031.0,127,0
2020-05-14,Crawford,Arkansas,5033.0,8,0
2020-05-14,Crittenden,Arkansas,5035.0,219,7
2020-05-14,Cross,Arkansas,5037.0,35,0
2020-05-14,Dallas,Arkansas,5039.0,1,0
2020-05-14,Desha,Arkansas,5041.0,18,0
2020-05-14,Drew,Arkansas,5043.0,19,1
2020-05-14,Faulkner,Arkansas,5045.0,83,3
2020-05-14,Franklin,Arkansas,5047.0,2,0
2020-05-14,Fulton,Arkansas,5049.0,3,0
2020-05-14,Garland,Arkansas,5051.0,126,1
2020-05-14,Grant,Arkansas,5053.0,16,0
2020-05-14,Greene,Arkansas,5055.0,24,0
2020-05-14,Hempstead,Arkansas,5057.0,7,1
2020-05-14,Hot Spring,Arkansas,5059.0,29,0
2020-05-14,Howard,Arkansas,5061.0,14,0
2020-05-14,Independence,Arkansas,5063.0,22,0
2020-05-14,Izard,Arkansas,5065.0,13,0
2020-05-14,Jackson,Arkansas,5067.0,1,0
2020-05-14,Jefferson,Arkansas,5069.0,300,19
2020-05-14,Johnson,Arkansas,5071.0,35,0
2020-05-14,Lafayette,Arkansas,5073.0,9,1
2020-05-14,Lawrence,Arkansas,5075.0,72,4
2020-05-14,Lee,Arkansas,5077.0,10,1
2020-05-14,Lincoln,Arkansas,5079.0,949,8
2020-05-14,Logan,Arkansas,5083.0,4,0
2020-05-14,Lonoke,Arkansas,5085.0,44,0
2020-05-14,Madison,Arkansas,5087.0,1,0
2020-05-14,Marion,Arkansas,5089.0,1,0
2020-05-14,Miller,Arkansas,5091.0,40,1
2020-05-14,Mississippi,Arkansas,5093.0,55,0
2020-05-14,Monroe,Arkansas,5095.0,5,0
2020-05-14,Montgomery,Arkansas,5097.0,1,0
2020-05-14,Nevada,Arkansas,5099.0,3,0
2020-05-14,Newton,Arkansas,5101.0,3,0
2020-05-14,Ouachita,Arkansas,5103.0,9,0
2020-05-14,Perry,Arkansas,5105.0,10,0
2020-05-14,Phillips,Arkansas,5107.0,4,1
2020-05-14,Pike,Arkansas,5109.0,3,0
2020-05-14,Poinsett,Arkansas,5111.0,25,2
2020-05-14,Polk,Arkansas,5113.0,7,0
2020-05-14,Pope,Arkansas,5115.0,52,0
2020-05-14,Prairie,Arkansas,5117.0,2,0
2020-05-14,Pulaski,Arkansas,5119.0,661,23
2020-05-14,Randolph,Arkansas,5121.0,22,0
2020-05-14,Saline,Arkansas,5125.0,78,1
2020-05-14,Scott,Arkansas,5127.0,1,0
2020-05-14,Searcy,Arkansas,5129.0,6,0
2020-05-14,Sebastian,Arkansas,5131.0,15,0
2020-05-14,Sevier,Arkansas,5133.0,24,1
2020-05-14,Sharp,Arkansas,5135.0,36,2
2020-05-14,St. Francis,Arkansas,5123.0,316,0
2020-05-14,Stone,Arkansas,5137.0,8,0
2020-05-14,Union,Arkansas,5139.0,105,4
2020-05-14,Unknown,Arkansas,,135,0
2020-05-14,Van Buren,Arkansas,5141.0,28,2
2020-05-14,Washington,Arkansas,5143.0,126,5
2020-05-14,White,Arkansas,5145.0,36,1
2020-05-14,Woodruff,Arkansas,5147.0,1,0
2020-05-14,Yell,Arkansas,5149.0,9,1
2020-05-14,Alameda,California,6001.0,2202,80
2020-05-14,Alpine,California,6003.0,2,0
2020-05-14,Amador,California,6005.0,8,0
2020-05-14,Butte,California,6007.0,22,0
2020-05-14,Calaveras,California,6009.0,13,0
2020-05-14,Colusa,California,6011.0,3,0
2020-05-14,Contra Costa,California,6013.0,1089,33
2020-05-14,Del Norte,California,6015.0,4,0
2020-05-14,El Dorado,California,6017.0,62,0
2020-05-14,Fresno,California,6019.0,1074,13
2020-05-14,Glenn,California,6021.0,9,0
2020-05-14,Humboldt,California,6023.0,68,0
2020-05-14,Imperial,California,6025.0,712,14
2020-05-14,Inyo,California,6027.0,20,1
2020-05-14,Kern,California,6029.0,1403,22
2020-05-14,Kings,California,6031.0,358,1
2020-05-14,Lake,California,6033.0,8,0
2020-05-14,Los Angeles,California,6037.0,35329,1659
2020-05-14,Madera,California,6039.0,69,2
2020-05-14,Marin,California,6041.0,278,14
2020-05-14,Mariposa,California,6043.0,15,0
2020-05-14,Mendocino,California,6045.0,13,0
2020-05-14,Merced,California,6047.0,189,4
2020-05-14,Mono,California,6051.0,33,1
2020-05-14,Monterey,California,6053.0,309,6
2020-05-14,Napa,California,6055.0,84,3
2020-05-14,Nevada,California,6057.0,41,1
2020-05-14,Orange,California,6059.0,4025,80
2020-05-14,Placer,California,6061.0,172,9
2020-05-14,Plumas,California,6063.0,4,0
2020-05-14,Riverside,California,6065.0,5440,246
2020-05-14,Sacramento,California,6067.0,1193,54
2020-05-14,San Benito,California,6069.0,59,2
2020-05-14,San Bernardino,California,6071.0,3198,139
2020-05-14,San Diego,California,6073.0,5454,223
2020-05-14,San Francisco,California,6075.0,2007,35
2020-05-14,San Joaquin,California,6077.0,644,31
2020-05-14,San Luis Obispo,California,6079.0,237,1
2020-05-14,San Mateo,California,6081.0,1550,66
2020-05-14,Santa Barbara,California,6083.0,1382,11
2020-05-14,Santa Clara,California,6085.0,2391,136
2020-05-14,Santa Cruz,California,6087.0,149,3
2020-05-14,Shasta,California,6089.0,33,4
2020-05-14,Siskiyou,California,6093.0,5,0
2020-05-14,Solano,California,6095.0,413,14
2020-05-14,Sonoma,California,6097.0,351,4
2020-05-14,Stanislaus,California,6099.0,537,23
2020-05-14,Sutter,California,6101.0,37,2
2020-05-14,Tehama,California,6103.0,1,1
2020-05-14,Trinity,California,6105.0,2,0
2020-05-14,Tulare,California,6107.0,1295,54
2020-05-14,Tuolumne,California,6109.0,2,0
2020-05-14,Ventura,California,6111.0,742,24
2020-05-14,Yolo,California,6113.0,182,22
2020-05-14,Yuba,California,6115.0,25,1
2020-05-14,Adams,Colorado,8001.0,2448,91
2020-05-14,Alamosa,Colorado,8003.0,37,2
2020-05-14,Arapahoe,Colorado,8005.0,3526,213
2020-05-14,Archuleta,Colorado,8007.0,8,0
2020-05-14,Baca,Colorado,8009.0,12,0
2020-05-14,Bent,Colorado,8011.0,1,0
2020-05-14,Boulder,Colorado,8013.0,805,58
2020-05-14,Broomfield,Colorado,8014.0,204,22
2020-05-14,Chaffee,Colorado,8015.0,69,17
2020-05-14,Cheyenne,Colorado,8017.0,5,0
2020-05-14,Clear Creek,Colorado,8019.0,15,1
2020-05-14,Conejos,Colorado,8021.0,1,0
2020-05-14,Costilla,Colorado,8023.0,4,0
2020-05-14,Crowley,Colorado,8025.0,39,1
2020-05-14,Custer,Colorado,8027.0,2,0
2020-05-14,Delta,Colorado,8029.0,54,1
2020-05-14,Denver,Colorado,8031.0,4359,237
2020-05-14,Douglas,Colorado,8035.0,621,31
2020-05-14,Eagle,Colorado,8037.0,564,8
2020-05-14,El Paso,Colorado,8041.0,1204,81
2020-05-14,Elbert,Colorado,8039.0,41,2
2020-05-14,Fremont,Colorado,8043.0,25,0
2020-05-14,Garfield,Colorado,8045.0,112,2
2020-05-14,Gilpin,Colorado,8047.0,2,0
2020-05-14,Grand,Colorado,8049.0,5,0
2020-05-14,Gunnison,Colorado,8051.0,182,6
2020-05-14,Hinsdale,Colorado,8053.0,3,0
2020-05-14,Huerfano,Colorado,8055.0,3,0
2020-05-14,Jefferson,Colorado,8059.0,1748,107
2020-05-14,Kit Carson,Colorado,8063.0,25,2
2020-05-14,La Plata,Colorado,8067.0,66,1
2020-05-14,Lake,Colorado,8065.0,23,0
2020-05-14,Larimer,Colorado,8069.0,463,19
2020-05-14,Las Animas,Colorado,8071.0,4,0
2020-05-14,Lincoln,Colorado,8073.0,3,0
2020-05-14,Logan,Colorado,8075.0,483,3
2020-05-14,Mesa,Colorado,8077.0,51,0
2020-05-14,Mineral,Colorado,8079.0,2,0
2020-05-14,Moffat,Colorado,8081.0,6,0
2020-05-14,Montezuma,Colorado,8083.0,25,3
2020-05-14,Montrose,Colorado,8085.0,129,11
2020-05-14,Morgan,Colorado,8087.0,534,26
2020-05-14,Otero,Colorado,8089.0,11,1
2020-05-14,Ouray,Colorado,8091.0,6,1
2020-05-14,Park,Colorado,8093.0,16,0
2020-05-14,Phillips,Colorado,8095.0,9,0
2020-05-14,Pitkin,Colorado,8097.0,54,2
2020-05-14,Prowers,Colorado,8099.0,9,0
2020-05-14,Pueblo,Colorado,8101.0,186,13
2020-05-14,Rio Blanco,Colorado,8103.0,1,0
2020-05-14,Rio Grande,Colorado,8105.0,7,0
2020-05-14,Routt,Colorado,8107.0,59,6
2020-05-14,Saguache,Colorado,8109.0,15,0
2020-05-14,San Juan,Colorado,8111.0,1,0
2020-05-14,San Miguel,Colorado,8113.0,22,0
2020-05-14,Summit,Colorado,8117.0,175,2
2020-05-14,Teller,Colorado,8119.0,31,2
2020-05-14,Unknown,Colorado,,46,0
2020-05-14,Washington,Colorado,8121.0,9,0
2020-05-14,Weld,Colorado,8123.0,2232,119
2020-05-14,Yuma,Colorado,8125.0,11,0
2020-05-14,Fairfield,Connecticut,9001.0,13836,1093
2020-05-14,Hartford,Connecticut,9003.0,7935,999
2020-05-14,Litchfield,Connecticut,9005.0,1203,115
2020-05-14,Middlesex,Connecticut,9007.0,863,118
2020-05-14,New Haven,Connecticut,9009.0,9712,767
2020-05-14,New London,Connecticut,9011.0,821,62
2020-05-14,Tolland,Connecticut,9013.0,568,51
2020-05-14,Unknown,Connecticut,,235,3
2020-05-14,Windham,Connecticut,9015.0,291,11
2020-05-14,Kent,Delaware,10001.0,1115,46
2020-05-14,New Castle,Delaware,10003.0,2560,108
2020-05-14,Sussex,Delaware,10005.0,3503,105
2020-05-14,Unknown,Delaware,,45,1
2020-05-14,District of Columbia,District of Columbia,11001.0,6736,358
2020-05-14,Alachua,Florida,12001.0,330,5
2020-05-14,Baker,Florida,12003.0,26,3
2020-05-14,Bay,Florida,12005.0,78,3
2020-05-14,Bradford,Florida,12007.0,49,2
2020-05-14,Brevard,Florida,12009.0,348,9
2020-05-14,Broward,Florida,12011.0,6057,267
2020-05-14,Calhoun,Florida,12013.0,33,1
2020-05-14,Charlotte,Florida,12015.0,357,38
2020-05-14,Citrus,Florida,12017.0,109,11
2020-05-14,Clay,Florida,12019.0,306,22
2020-05-14,Collier,Florida,12021.0,882,35
2020-05-14,Columbia,Florida,12023.0,107,2
2020-05-14,DeSoto,Florida,12027.0,58,6
2020-05-14,Dixie,Florida,12029.0,18,0
2020-05-14,Duval,Florida,12031.0,1215,32
2020-05-14,Escambia,Florida,12033.0,671,19
2020-05-14,Flagler,Florida,12035.0,148,4
2020-05-14,Franklin,Florida,12037.0,2,0
2020-05-14,Gadsden,Florida,12039.0,139,1
2020-05-14,Gilchrist,Florida,12041.0,7,0
2020-05-14,Glades,Florida,12043.0,9,1
2020-05-14,Gulf,Florida,12045.0,1,0
2020-05-14,Hamilton,Florida,12047.0,134,0
2020-05-14,Hardee,Florida,12049.0,39,0
2020-05-14,Hendry,Florida,12051.0,176,11
2020-05-14,Hernando,Florida,12053.0,104,5
2020-05-14,Highlands,Florida,12055.0,103,8
2020-05-14,Hillsborough,Florida,12057.0,1530,46
2020-05-14,Holmes,Florida,12059.0,10,0
2020-05-14,Indian River,Florida,12061.0,103,9
2020-05-14,Jackson,Florida,12063.0,105,0
2020-05-14,Jefferson,Florida,12065.0,28,2
2020-05-14,Lafayette,Florida,12067.0,5,0
2020-05-14,Lake,Florida,12069.0,248,14
2020-05-14,Lee,Florida,12071.0,1349,73
2020-05-14,Leon,Florida,12073.0,274,6
2020-05-14,Levy,Florida,12075.0,22,0
2020-05-14,Liberty,Florida,12077.0,199,0
2020-05-14,Madison,Florida,12079.0,62,3
2020-05-14,Manatee,Florida,12081.0,813,78
2020-05-14,Marion,Florida,12083.0,217,5
2020-05-14,Martin,Florida,12085.0,281,6
2020-05-14,Miami-Dade,Florida,12086.0,14741,535
2020-05-14,Monroe,Florida,12087.0,95,3
2020-05-14,Nassau,Florida,12089.0,63,1
2020-05-14,Okaloosa,Florida,12091.0,171,5
2020-05-14,Okeechobee,Florida,12093.0,32,0
2020-05-14,Orange,Florida,12095.0,1576,35
2020-05-14,Osceola,Florida,12097.0,594,16
2020-05-14,Palm Beach,Florida,12099.0,4276,263
2020-05-14,Pasco,Florida,12101.0,308,9
2020-05-14,Pinellas,Florida,12103.0,962,65
2020-05-14,Polk,Florida,12105.0,698,37
2020-05-14,Putnam,Florida,12107.0,127,3
2020-05-14,Santa Rosa,Florida,12113.0,180,9
2020-05-14,Sarasota,Florida,12115.0,487,57
2020-05-14,Seminole,Florida,12117.0,426,11
2020-05-14,St. Johns,Florida,12109.0,231,5
2020-05-14,St. Lucie,Florida,12111.0,301,26
2020-05-14,Sumter,Florida,12119.0,246,16
2020-05-14,Suwannee,Florida,12121.0,151,18
2020-05-14,Taylor,Florida,12123.0,3,0
2020-05-14,Union,Florida,12125.0,14,0
2020-05-14,Unknown,Florida,,76,0
2020-05-14,Volusia,Florida,12127.0,576,30
2020-05-14,Wakulla,Florida,12129.0,31,1
2020-05-14,Walton,Florida,12131.0,73,2
2020-05-14,Washington,Florida,12133.0,12,0
2020-05-14,Appling,Georgia,13001.0,108,10
2020-05-14,Atkinson,Georgia,13003.0,20,2
2020-05-14,Bacon,Georgia,13005.0,51,2
2020-05-14,Baker,Georgia,13007.0,33,2
2020-05-14,Baldwin,Georgia,13009.0,280,12
2020-05-14,Banks,Georgia,13011.0,41,0
2020-05-14,Barrow,Georgia,13013.0,255,7
2020-05-14,Bartow,Georgia,13015.0,382,35
2020-05-14,Ben Hill,Georgia,13017.0,44,1
2020-05-14,Berrien,Georgia,13019.0,20,0
2020-05-14,Bibb,Georgia,13021.0,384,16
2020-05-14,Bleckley,Georgia,13023.0,32,0
2020-05-14,Brantley,Georgia,13025.0,28,2
2020-05-14,Brooks,Georgia,13027.0,64,8
2020-05-14,Bryan,Georgia,13029.0,61,4
2020-05-14,Bulloch,Georgia,13031.0,45,2
2020-05-14,Burke,Georgia,13033.0,112,3
2020-05-14,Butts,Georgia,13035.0,196,17
2020-05-14,Calhoun,Georgia,13037.0,117,5
2020-05-14,Camden,Georgia,13039.0,46,1
2020-05-14,Candler,Georgia,13043.0,10,0
2020-05-14,Carroll,Georgia,13045.0,400,19
2020-05-14,Catoosa,Georgia,13047.0,70,0
2020-05-14,Charlton,Georgia,13049.0,20,1
2020-05-14,Chatham,Georgia,13051.0,344,14
2020-05-14,Chattahoochee,Georgia,13053.0,17,0
2020-05-14,Chattooga,Georgia,13055.0,16,2
2020-05-14,Cherokee,Georgia,13057.0,676,21
2020-05-14,Clarke,Georgia,13059.0,192,13
2020-05-14,Clay,Georgia,13061.0,28,3
2020-05-14,Clayton,Georgia,13063.0,983,36
2020-05-14,Clinch,Georgia,13065.0,36,0
2020-05-14,Cobb,Georgia,13067.0,2363,129
2020-05-14,Coffee,Georgia,13069.0,191,11
2020-05-14,Colquitt,Georgia,13071.0,241,11
2020-05-14,Columbia,Georgia,13073.0,197,6
2020-05-14,Cook,Georgia,13075.0,32,2
2020-05-14,Coweta,Georgia,13077.0,280,4
2020-05-14,Crawford,Georgia,13079.0,19,0
2020-05-14,Crisp,Georgia,13081.0,193,7
2020-05-14,Dade,Georgia,13083.0,17,1
2020-05-14,Dawson,Georgia,13085.0,84,1
2020-05-14,DeKalb,Georgia,13089.0,2664,75
2020-05-14,Decatur,Georgia,13087.0,115,3
2020-05-14,Dodge,Georgia,13091.0,38,1
2020-05-14,Dooly,Georgia,13093.0,152,12
2020-05-14,Dougherty,Georgia,13095.0,1643,132
2020-05-14,Douglas,Georgia,13097.0,429,14
2020-05-14,Early,Georgia,13099.0,238,28
2020-05-14,Echols,Georgia,13101.0,12,0
2020-05-14,Effingham,Georgia,13103.0,38,1
2020-05-14,Elbert,Georgia,13105.0,46,0
2020-05-14,Emanuel,Georgia,13107.0,25,1
2020-05-14,Evans,Georgia,13109.0,4,0
2020-05-14,Fannin,Georgia,13111.0,36,1
2020-05-14,Fayette,Georgia,13113.0,204,11
2020-05-14,Floyd,Georgia,13115.0,169,12
2020-05-14,Forsyth,Georgia,13117.0,395,11
2020-05-14,Franklin,Georgia,13119.0,30,1
2020-05-14,Fulton,Georgia,13121.0,3625,159
2020-05-14,Gilmer,Georgia,13123.0,105,0
2020-05-14,Glascock,Georgia,13125.0,1,0
2020-05-14,Glynn,Georgia,13127.0,74,1
2020-05-14,Gordon,Georgia,13129.0,124,15
2020-05-14,Grady,Georgia,13131.0,88,4
2020-05-14,Greene,Georgia,13133.0,57,5
2020-05-14,Gwinnett,Georgia,13135.0,2552,101
2020-05-14,Habersham,Georgia,13137.0,400,15
2020-05-14,Hall,Georgia,13139.0,2125,40
2020-05-14,Hancock,Georgia,13141.0,142,4
2020-05-14,Haralson,Georgia,13143.0,34,2
2020-05-14,Harris,Georgia,13145.0,74,2
2020-05-14,Hart,Georgia,13147.0,19,0
2020-05-14,Heard,Georgia,13149.0,17,1
2020-05-14,Henry,Georgia,13151.0,621,17
2020-05-14,Houston,Georgia,13153.0,306,17
2020-05-14,Irwin,Georgia,13155.0,22,1
2020-05-14,Jackson,Georgia,13157.0,126,3
2020-05-14,Jasper,Georgia,13159.0,26,0
2020-05-14,Jeff Davis,Georgia,13161.0,24,1
2020-05-14,Jefferson,Georgia,13163.0,22,1
2020-05-14,Jenkins,Georgia,13165.0,16,1
2020-05-14,Johnson,Georgia,13167.0,70,2
2020-05-14,Jones,Georgia,13169.0,30,0
2020-05-14,Lamar,Georgia,13171.0,41,1
2020-05-14,Lanier,Georgia,13173.0,11,2
2020-05-14,Laurens,Georgia,13175.0,86,1
2020-05-14,Lee,Georgia,13177.0,343,22
2020-05-14,Liberty,Georgia,13179.0,45,0
2020-05-14,Lincoln,Georgia,13181.0,12,0
2020-05-14,Long,Georgia,13183.0,5,0
2020-05-14,Lowndes,Georgia,13185.0,201,4
2020-05-14,Lumpkin,Georgia,13187.0,82,1
2020-05-14,Macon,Georgia,13193.0,89,5
2020-05-14,Madison,Georgia,13195.0,29,1
2020-05-14,Marion,Georgia,13197.0,38,1
2020-05-14,McDuffie,Georgia,13189.0,53,4
2020-05-14,McIntosh,Georgia,13191.0,9,0
2020-05-14,Meriwether,Georgia,13199.0,72,1
2020-05-14,Miller,Georgia,13201.0,36,0
2020-05-14,Mitchell,Georgia,13205.0,387,32
2020-05-14,Monroe,Georgia,13207.0,45,4
2020-05-14,Montgomery,Georgia,13209.0,5,0
2020-05-14,Morgan,Georgia,13211.0,33,0
2020-05-14,Murray,Georgia,13213.0,55,1
2020-05-14,Muscogee,Georgia,13215.0,411,15
2020-05-14,Newton,Georgia,13217.0,263,8
2020-05-14,Oconee,Georgia,13219.0,80,0
2020-05-14,Oglethorpe,Georgia,13221.0,55,4
2020-05-14,Paulding,Georgia,13223.0,236,10
2020-05-14,Peach,Georgia,13225.0,69,2
2020-05-14,Pickens,Georgia,13227.0,35,3
2020-05-14,Pierce,Georgia,13229.0,69,4
2020-05-14,Pike,Georgia,13231.0,44,2
2020-05-14,Polk,Georgia,13233.0,71,0
2020-05-14,Pulaski,Georgia,13235.0,38,1
2020-05-14,Putnam,Georgia,13237.0,60,6
