FIPS,increase_week_prior,increase_day_prior,new_cases_past_week
1001,1,1,1
1003,1,1,1
1005,1,1,1
1007,1,0,1
1009,1,0,1
1011,1,1,1
1013,1,1,1
1015,1,1,1
1017,1,0,1
1019,1,0,1
1021,1,1,1
1023,1,1,1
1025,1,1,1
1027,1,0,1
1029,0,0,1
1031,1,1,1
1033,1,1,1
1035,1,1,1
1037,1,0,1
1039,1,0,1
1041,1,1,1
1043,1,0,1
1045,1,1,1
1047,1,1,1
1049,1,1,1
1051,1,0,1
1053,1,0,1
1055,1,1,1
1057,1,0,1
1059,1,1,1
1061,1,1,1
1063,1,1,1
1065,1,0,1
1067,1,1,1
1069,1,1,1
1071,1,0,1
1073,1,1,1
1075,1,1,1
1077,1,1,1
1079,1,0,1
1081,1,1,1
1083,1,1,1
1085,1,0,1
1087,1,1,1
1089,1,1,1
1091,1,1,1
1093,1,1,1
1095,1,1,1
1097,1,1,1
1099,1,1,1
1101,1,1,1
1103,1,1,1
1105,1,0,1
1107,1,0,1
1109,1,1,1
1111,1,0,1
1113,1,1,1
1115,1,1,1
1117,1,1,1
1119,1,0,1
1121,1,1,1
1123,1,1,1
1125,1,1,1
1127,1,1,1
1129,1,1,1
1131,1,1,1
1133,1,0,1
2013,0,0,1
2016,0,0,0
2020,1,0,1
2050,0,0,1
2060,0,0,1
2068,0,0,1
2070,0,0,1
2090,1,0,1
2100,0,0,1
2105,0,0,0
2110,0,0,1
2122,1,0,1
2130,0,0,1
2150,0,0,0
2158,0,0,1
2164,0,0,0
2170,0,0,1
2180,0,0,1
2185,0,0,1
2188,0,0,1
2195,0,0,0
2198,0,0,0
2220,0,0,1
2230,0,0,0
2240,0,0,1
2261,0,0,1
2275,0,0,0
2282,0,0,0
2290,0,0,1
4001,1,1,1
4003,1,0,1
4005,1,1,1
4007,1,0,1
4009,1,1,1
4011,0,0,1
4012,1,1,1
4013,1,1,1
4015,1,1,1
4017,1,1,1
4019,1,1,1
4021,1,1,1
4023,1,0,1
4025,1,1,1
4027,1,1,1
5001,0,0,1
5003,1,0,1
5005,0,0,1
5007,1,1,1
5009,0,0,1
5011,1,1,1
5013,0,0,1
5015,0,0,1
5017,0,0,1
5019,1,1,1
5021,0,0,1
5023,0,0,1
5025,1,1,1
5027,0,0,1
5029,1,1,1
5031,1,1,1
5033,1,0,1
