FIPS,%_african_american,%_natamer_alaskan,%_asian,%_hawaii_pacisl,%_hisp,%_nonhisp_white
1001,19.0,0.5,1.1,0.1,2.7,75.0
1003,9.0,0.8,1.1,0.1,4.4,83.2
1005,47.5,0.6,0.5,0.2,4.2,46.5
1007,21.6,0.4,0.2,0.1,2.5,74.4
1009,1.4,0.6,0.3,0.1,9.1,87.5
1011,69.3,0.9,0.3,0.7,7.8,21.5
1013,44.1,0.4,1.1,0.1,1.3,52.2
1015,20.7,0.5,0.9,0.1,3.6,72.6
1017,39.3,0.3,1.1,0.1,2.3,56.0
1019,4.3,0.6,0.3,0.0,1.6,91.7
1021,9.9,0.5,0.5,0.2,7.6,80.6
1023,41.4,0.2,0.2,0.0,1.0,56.6
1025,44.0,0.5,0.5,0.0,1.4,52.8
1027,13.9,0.5,0.2,0.0,3.0,80.4
1029,3.1,0.4,0.2,0.1,2.5,92.7
1031,17.2,1.4,1.5,0.4,7.0,70.7
1033,15.9,0.6,0.6,0.1,2.5,78.8
1035,46.3,0.4,0.2,0.0,2.0,50.0
1037,30.6,0.6,0.1,0.2,2.2,65.6
1039,12.7,0.7,0.5,0.0,1.6,83.2
1041,23.5,0.6,1.6,0.0,1.9,70.8
1043,1.1,0.6,0.6,0.1,4.3,92.3
1045,19.9,0.9,1.3,0.2,6.1,69.5
1047,69.9,0.2,0.5,0.0,1.1,27.6
1049,1.5,2.1,0.4,0.7,14.3,80.7
1051,21.1,0.5,0.7,0.1,2.8,73.4
1053,31.9,3.6,0.3,0.1,2.2,60.3
1055,15.4,0.6,0.8,0.3,3.8,78.1
1057,11.8,0.4,0.3,0.0,1.6,84.9
1059,3.8,1.5,0.4,0.2,16.8,77.2
1061,9.4,1.0,0.3,0.1,3.9,83.9
1063,80.3,0.3,0.2,0.0,1.2,17.3
1065,57.4,0.2,0.3,0.0,1.4,40.1
1067,26.6,0.4,0.5,0.0,2.6,68.8
1069,26.6,0.5,1.0,0.1,3.2,67.1
1071,3.3,1.6,0.6,0.1,2.8,89.5
1073,43.0,0.3,1.7,0.1,3.7,50.2
1075,10.6,0.3,0.1,0.0,1.5,86.1
1077,10.1,0.4,0.8,0.1,2.6,84.8
1079,10.8,5.8,0.2,0.0,2.1,76.7
1081,23.1,0.4,3.7,0.1,3.8,67.6
1083,13.2,0.8,1.6,0.2,5.8,76.9
1085,72.9,0.3,0.3,0.0,1.5,24.5
1087,80.7,0.3,0.5,0.0,1.8,15.6
1089,24.4,0.8,2.7,0.1,4.8,65.0
1091,51.0,0.2,0.3,0.2,2.5,45.1
1093,3.9,0.4,0.3,0.1,2.5,91.9
1095,2.2,1.1,0.8,0.2,13.5,81.4
1097,35.5,1.0,2.0,0.1,2.8,57.3
1099,40.7,1.3,0.4,0.0,1.3,54.7
1101,57.6,0.3,2.9,0.1,3.3,34.7
1103,12.3,1.1,0.8,0.1,8.1,76.1
1105,67.1,0.2,0.5,0.1,1.6,29.9
1107,39.8,0.3,0.3,0.3,4.3,54.4
1109,37.3,0.7,2.2,0.1,2.2,56.0
1111,19.7,0.5,0.4,0.1,3.0,75.2
1113,43.9,0.6,0.9,0.3,5.5,47.1
1115,9.3,0.4,0.8,0.1,2.4,85.9
1117,12.3,0.4,2.1,0.1,5.7,78.4
1119,71.9,0.1,1.5,0.0,1.1,24.8
