county,state,fips,date_stay_at_home_announced,date_stay_at_home_effective,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,percent_vaccinated,life_expectancy,percent_adults_with_diabetes,percent_insufficient_sleep,percent_disabled,other_primary_care_provider_rate,median_household_income,segregation_index_2,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percent_below_poverty,percent_unemployed_CDC,percent_age_65_and_older,percent_age_17_and_younger,percent_minorities,percent_multi_unit_housing
Acadia,Louisiana,22001,3/22/20,3/23/20,95.20563572,20.89003532,21.53408807,38.4,35.3,10.66580723,36.74708,48.0,75.44069565,11.4,32.35765799,18.0,27.33558,40484.0,44.87723456,25.84659913,15.26129603,1.24554854,51.21080560000001,51.69896233,20887.0,20.6,9.1,13.5,26.8,22.2,2.2
Accomack,Virginia,51001,3/30/20,3/30/20,73.57990363,20.08919894,18.31692932,36.3,36.1,16.64911286,49.1627,44.0,76.21501043,15.9,36.75018527,12.4,61.70554,42879.0,19.253833399999998,20.535604100000004,23.56534617,4.205986315,51.20017278,100.0,23337.0,19.5,7.0,21.0,20.9,39.4,2.1
Ada,Idaho,16001,3/25/20,3/25/20,404.55145760000005,11.474882000000001,11.99070066,25.6,14.9,8.743291765,93.68522,48.0,80.78147681,7.9,26.29686038,10.2,155.33039,66827.0,20.78916545,23.77554972,14.42487329,1.2689732120000001,49.93978288,5.47220063,30086.0,12.2,5.3,12.6,25.1,14.5,7.4
Adair,Kentucky,21001,3/22/20,3/26/20,47.26575976,22.84861407,22.6199734,40.9,33.1,6.7460590620000005,35.92507,27.0,75.72070357,17.5,36.40911143,18.2,83.26828,37392.0,50.52219704,20.32786885,18.58443924,0.24132068199999998,50.51782462,75.4556175,18463.0,23.3,5.8,16.7,20.4,6.5,2.3
Adair,Missouri,29001,4/3/20,4/6/20,45.03073513,21.40149981,20.52884319,27.9,31.7,10.60246053,102.45498,52.0,77.53151514,8.4,31.87680618,12.1,71.03674000000001,40395.0,33.61221576,18.37089072,14.81905363,2.152414194,51.87655393,37.85293084,19804.0,26.0,6.5,14.0,18.5,9.2,4.4
Adams,Colorado,8001,3/26/20,3/26/20,411.18874839999995,16.64357871,16.32460543,27.8,19.9,11.02655117,43.52432,46.0,79.16431308,7.7,31.03764476,10.5,185.39936,70199.0,28.00095378,26.52558863,10.46890995,6.578750187000001,49.50455977,3.620446419,26051.0,12.9,6.1,9.5,27.8,48.3,15.8
Adams,Idaho,16003,3/25/20,3/25/20,2.8360633410000005,14.96162657,14.35193203,30.5,21.2,14.38309475,24.11382,31.0,80.34245835,7.9,28.04072091,20.1,70.58824,45311.0,,17.74117647,28.72941177,0.129366106,47.97647059,100.0,22741.0,14.6,10.8,24.7,18.3,6.9,0.1
Adams,Illinois,17001,3/20/20,3/21/20,78.28413304,14.77251796,15.45718712,36.6,27.6,5.236587005,89.07812,41.0,78.28820268,11.0,28.81150991,13.7,124.82683999999999,55174.0,41.65039232,22.49775464,20.23108188,0.18938482,50.81822472,32.59913864,26053.0,12.9,6.4,18.6,22.7,7.7,5.0
Adams,Indiana,18001,3/23/20,3/24/20,102.68466009999999,18.93698604,20.45444489,34.8,30.4,11.62389695,36.629,44.0,78.97091528,9.7,33.91897699,12.6,44.89842,56693.0,33.89670706,31.29980918,15.50117858,0.969320535,50.03928612,53.67435368,21173.0,18.0,5.5,14.5,31.5,6.3,6.3
Adams,Mississippi,28001,3/31/20,4/3/20,68.6654195,27.27744672,22.20616181,35.3,31.9,14.97984578,93.53933,45.0,73.33584108,13.2,41.06081254,15.5,125.03206000000002,33392.0,42.81244796,20.06604258,18.83175173,5.607855046,47.90651449,37.22636777,18091.0,30.4,10.1,16.8,22.3,62.5,5.5
Adams,Ohio,39001,3/22/20,3/23/20,48.14624744,22.30002771,24.28219203,32.2,36.6,9.061904551,43.28068,41.0,73.21377646,16.1,39.1744836,20.8,75.74665,42154.0,44.33001654,23.77362574,17.93031309,0.068723274,50.40398211,89.0262697,18901.0,24.5,9.9,16.4,24.5,3.3,1.6
Adams,Pennsylvania,42001,3/23/20,4/1/20,196.1856078,15.31565933,16.21508389,35.6,26.7,7.492933576,54.7217,56.0,79.40737674,8.5,34.65674328,13.5,71.00408,62877.0,33.64506892,19.9920242,20.38108763,1.26976917,50.79417572,53.67578175,28515.0,9.4,5.5,18.3,20.7,10.2,2.2
Adams,Washington,53001,3/23/20,3/23/20,9.922208838,23.41677397,14.33154142,36.9,23.8,12.67296158,46.13965,36.0,80.07017422,10.3,29.51589486,9.8,86.03674000000001,52012.0,24.44066542,35.44713801,11.05825194,17.2973591,49.34460246,40.15912003,17781.0,23.0,6.1,10.4,35.2,64.3,4.5
Adams,Wisconsin,55001,3/24/20,3/25/20,31.43350262,14.18897627,16.44073681,30.2,26.1,7.863867881,10.01352,33.0,78.22252469,17.4,31.89651338,21.1,24.57244,43000.0,18.88378942,14.49282485,29.10851189,0.710461285,46.30921958,100.0,23668.0,12.7,9.5,27.0,14.9,9.4,1.8
Addison,Vermont,50001,3/24/20,3/24/20,48.18565432,9.683870326000001,13.03021651,25.5,20.3,6.215849499,114.20492,55.0,81.60698855,9.0,28.62023519,14.2,81.14029000000001,68878.0,36.87404838,16.86365726,19.89830417,0.38988557700000004,50.04733184,78.43078678,30154.0,8.7,5.0,17.0,18.2,6.9,3.6
Aitkin,Minnesota,27001,3/25/20,3/27/20,8.630239615,14.23482176,15.17175861,29.5,29.0,6.622769347999999,82.12774,30.0,77.34924283,14.5,30.09010551,18.0,75.46221,44016.0,27.00073817,16.71487863,33.02100365,0.17699115,49.47805308,100.0,25780.0,12.8,7.0,30.0,17.2,5.9,2.4
Alachua,Florida,12001,4/1/20,4/3/20,293.21754760000005,17.61444956,16.38085209,26.7,23.5,11.86566958,158.08559,46.0,79.13039887,8.8,35.85795384,10.5,277.45262,51026.0,30.06007298,17.981078399999998,14.01561736,1.194444668,51.68545985,21.19343727,25758.0,24.2,7.0,12.4,18.0,37.5,18.7
Alamance,North Carolina,37001,3/27/20,3/30/20,369.3067117,17.95470436,17.09856025,32.4,26.2,14.14382019,46.18483,52.0,77.46378485,12.6,33.32037398,14.6,74.50310999999999,50480.0,37.58812155,22.23977986,16.89958903,3.328726633,52.57215987,28.55800597,23989.0,18.5,6.9,16.0,22.8,34.5,6.8
Alameda,California,6001,3/19/20,3/19/20,2171.874266,12.41221904,9.732710338,19.4,14.5,5.782793558,110.14976999999999,44.0,82.87623703,6.9,33.45597712,9.6,55.9771,101744.0,35.75507956,20.54953553,13.82988361,8.441631516000001,50.79984857,0.38860575399999997,39042.0,12.0,7.1,12.4,21.4,67.4,21.2
Alamosa,Colorado,8003,3/26/20,3/26/20,22.631507,22.84043616,17.28464256,24.0,23.9,13.19106163,78.5451,41.0,76.17673449,6.4,32.33611485,19.1,185.8179,42897.0,10.41881436,24.04843254,13.61265959,4.186837628999999,49.88311455,36.86629977,18133.0,31.4,8.7,12.7,24.5,50.9,6.7
Albany,New York,36001,3/20/20,3/22/20,588.9107087,14.20867141,14.53185466,27.3,22.0,4.400938172,100.4483,52.0,80.03319309999999,9.1,33.83188589,11.0,190.15554,64536.0,44.63416905,18.35098676,16.95542741,1.902392725,51.571225299999995,9.696124969,33888.0,12.9,5.8,15.2,19.0,26.4,11.7
