FIPS,STATE,date_announced,date_effective,date_lift,date_reopen,ban_days,days_since_announced,days_since_order,days_since_reopen,ann_to_eff
1001,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1003,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1005,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1007,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1009,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1011,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1013,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1015,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1017,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1019,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1021,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1023,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1025,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1027,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1029,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1031,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1033,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1035,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1037,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1039,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1041,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1043,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1045,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1047,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1049,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1051,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1053,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
1055,ALABAMA,2020-04-03,2020-04-04,2020-04-30,2020-04-30,26 days 00:00:00.000000000,40,40,14,1 days 00:00:00.000000000
