FIPS,STATE,ST_ABBR,COUNTY,Date Announced,Effective Date,
1001,ALABAMA,AL,Autauga,3-Apr,4-Apr,4/30/20
1003,ALABAMA,AL,Baldwin,3-Apr,4-Apr,4/30/20
1005,ALABAMA,AL,Barbour,3-Apr,4-Apr,4/30/20
1007,ALABAMA,AL,Bibb,3-Apr,4-Apr,4/30/20
1009,ALABAMA,AL,Blount,3-Apr,4-Apr,4/30/20
1011,ALABAMA,AL,Bullock,3-Apr,4-Apr,4/30/20
1013,ALABAMA,AL,Butler,3-Apr,4-Apr,4/30/20
1015,ALABAMA,AL,Calhoun,3-Apr,4-Apr,4/30/20
1017,ALABAMA,AL,Chambers,3-Apr,4-Apr,4/30/20
1019,ALABAMA,AL,Cherokee,3-Apr,4-Apr,4/30/20
1021,ALABAMA,AL,Chilton,3-Apr,4-Apr,4/30/20
1023,ALABAMA,AL,Choctaw,3-Apr,4-Apr,4/30/20
1025,ALABAMA,AL,Clarke,3-Apr,4-Apr,4/30/20
1027,ALABAMA,AL,Clay,3-Apr,4-Apr,4/30/20
1029,ALABAMA,AL,Cleburne,3-Apr,4-Apr,4/30/20
1031,ALABAMA,AL,Coffee,3-Apr,4-Apr,4/30/20
1033,ALABAMA,AL,Colbert,3-Apr,4-Apr,4/30/20
1035,ALABAMA,AL,Conecuh,3-Apr,4-Apr,4/30/20
1037,ALABAMA,AL,Coosa,3-Apr,4-Apr,4/30/20
1039,ALABAMA,AL,Covington,3-Apr,4-Apr,4/30/20
1041,ALABAMA,AL,Crenshaw,3-Apr,4-Apr,4/30/20
1043,ALABAMA,AL,Cullman,3-Apr,4-Apr,4/30/20
1045,ALABAMA,AL,Dale,3-Apr,4-Apr,4/30/20
1047,ALABAMA,AL,Dallas,3-Apr,4-Apr,4/30/20
1049,ALABAMA,AL,DeKalb,3-Apr,4-Apr,4/30/20
1051,ALABAMA,AL,Elmore,3-Apr,4-Apr,4/30/20
1053,ALABAMA,AL,Escambia,3-Apr,4-Apr,4/30/20
1055,ALABAMA,AL,Etowah,3-Apr,4-Apr,4/30/20
1057,ALABAMA,AL,Fayette,3-Apr,4-Apr,4/30/20
1059,ALABAMA,AL,Franklin,3-Apr,4-Apr,4/30/20
1061,ALABAMA,AL,Geneva,3-Apr,4-Apr,4/30/20
1063,ALABAMA,AL,Greene,3-Apr,4-Apr,4/30/20
1065,ALABAMA,AL,Hale,3-Apr,4-Apr,4/30/20
1067,ALABAMA,AL,Henry,3-Apr,4-Apr,4/30/20
1069,ALABAMA,AL,Houston,3-Apr,4-Apr,4/30/20
1071,ALABAMA,AL,Jackson,3-Apr,4-Apr,4/30/20
1073,ALABAMA,AL,Jefferson,3-Apr,4-Apr,4/30/20
1075,ALABAMA,AL,Lamar,3-Apr,4-Apr,4/30/20
1077,ALABAMA,AL,Lauderdale,3-Apr,4-Apr,4/30/20
1079,ALABAMA,AL,Lawrence,3-Apr,4-Apr,4/30/20
1081,ALABAMA,AL,Lee,3-Apr,4-Apr,4/30/20
1083,ALABAMA,AL,Limestone,3-Apr,4-Apr,4/30/20
1085,ALABAMA,AL,Lowndes,3-Apr,4-Apr,4/30/20
1087,ALABAMA,AL,Macon,3-Apr,4-Apr,4/30/20
1089,ALABAMA,AL,Madison,3-Apr,4-Apr,4/30/20
1091,ALABAMA,AL,Marengo,3-Apr,4-Apr,4/30/20
1093,ALABAMA,AL,Marion,3-Apr,4-Apr,4/30/20
1095,ALABAMA,AL,Marshall,3-Apr,4-Apr,4/30/20
1097,ALABAMA,AL,Mobile,3-Apr,4-Apr,4/30/20
1099,ALABAMA,AL,Monroe,3-Apr,4-Apr,4/30/20
1101,ALABAMA,AL,Montgomery,3-Apr,4-Apr,4/30/20
1103,ALABAMA,AL,Morgan,3-Apr,4-Apr,4/30/20
1105,ALABAMA,AL,Perry,3-Apr,4-Apr,4/30/20
1107,ALABAMA,AL,Pickens,3-Apr,4-Apr,4/30/20
1109,ALABAMA,AL,Pike,3-Apr,4-Apr,4/30/20
1111,ALABAMA,AL,Randolph,3-Apr,4-Apr,4/30/20
1113,ALABAMA,AL,Russell,3-Apr,4-Apr,4/30/20
1115,ALABAMA,AL,St. Clair,3-Apr,4-Apr,4/30/20
1117,ALABAMA,AL,Shelby,3-Apr,4-Apr,4/30/20
1119,ALABAMA,AL,Sumter,3-Apr,4-Apr,4/30/20
1121,ALABAMA,AL,Talladega,3-Apr,4-Apr,4/30/20
1123,ALABAMA,AL,Tallapoosa,3-Apr,4-Apr,4/30/20
1125,ALABAMA,AL,Tuscaloosa,3-Apr,4-Apr,4/30/20
1127,ALABAMA,AL,Walker,3-Apr,4-Apr,4/30/20
1129,ALABAMA,AL,Washington,3-Apr,4-Apr,4/30/20
1131,ALABAMA,AL,Wilcox,3-Apr,4-Apr,4/30/20
1133,ALABAMA,AL,Winston,3-Apr,4-Apr,4/30/20
2013,ALASKA,AK,Aleutians East,27-Mar,28-Mar,
2016,ALASKA,AK,Aleutians West,27-Mar,28-Mar,
2020,ALASKA,AK,Anchorage,27-Mar,28-Mar,
2050,ALASKA,AK,Bethel,27-Mar,28-Mar,
2060,ALASKA,AK,Bristol Bay,27-Mar,28-Mar,
2068,ALASKA,AK,Denali,27-Mar,28-Mar,
2070,ALASKA,AK,Dillingham,27-Mar,28-Mar,
2090,ALASKA,AK,Fairbanks North Star,27-Mar,28-Mar,
2100,ALASKA,AK,Haines,27-Mar,28-Mar,
2105,ALASKA,AK,Hoonah-Angoon,27-Mar,28-Mar,
2110,ALASKA,AK,Juneau City and Borough,27-Mar,28-Mar,
2122,ALASKA,AK,Kenai Peninsula,27-Mar,28-Mar,
2130,ALASKA,AK,Ketchikan Gateway,27-Mar,28-Mar,
2150,ALASKA,AK,Kodiak Island,27-Mar,28-Mar,
2158,ALASKA,AK,Kusilvak,27-Mar,28-Mar,
2164,ALASKA,AK,Lake and Peninsula,27-Mar,28-Mar,
2170,ALASKA,AK,Matanuska-Susitna,27-Mar,28-Mar,
2180,ALASKA,AK,Nome,27-Mar,28-Mar,
2185,ALASKA,AK,North Slope,27-Mar,28-Mar,
2188,ALASKA,AK,Northwest Arctic,27-Mar,28-Mar,
2195,ALASKA,AK,Petersburg,27-Mar,28-Mar,
2198,ALASKA,AK,Prince of Wales-Hyder,27-Mar,28-Mar,
2220,ALASKA,AK,Sitka City and Borough,27-Mar,28-Mar,
2230,ALASKA,AK,Skagway,27-Mar,28-Mar,
2240,ALASKA,AK,Southeast Fairbanks,27-Mar,28-Mar,
2261,ALASKA,AK,Valdez-Cordova,27-Mar,28-Mar,
2275,ALASKA,AK,Wrangell City and Borough,27-Mar,28-Mar,
2282,ALASKA,AK,Yakutat City and Borough,27-Mar,28-Mar,
2290,ALASKA,AK,Yukon-Koyukuk,27-Mar,28-Mar,
4001,ARIZONA,AZ,Apache,30-Mar,31-Mar,
4003,ARIZONA,AZ,Cochise,30-Mar,31-Mar,
4005,ARIZONA,AZ,Coconino,30-Mar,31-Mar,
4007,ARIZONA,AZ,Gila,30-Mar,31-Mar,
4009,ARIZONA,AZ,Graham,30-Mar,31-Mar,
4011,ARIZONA,AZ,Greenlee,30-Mar,31-Mar,
4012,ARIZONA,AZ,La Paz,30-Mar,31-Mar,
4013,ARIZONA,AZ,Maricopa,30-Mar,31-Mar,
4015,ARIZONA,AZ,Mohave,30-Mar,31-Mar,
4017,ARIZONA,AZ,Navajo,30-Mar,31-Mar,
4019,ARIZONA,AZ,Pima,30-Mar,31-Mar,
4021,ARIZONA,AZ,Pinal,30-Mar,31-Mar,
4023,ARIZONA,AZ,Santa Cruz,30-Mar,31-Mar,
4025,ARIZONA,AZ,Yavapai,30-Mar,31-Mar,
4027,ARIZONA,AZ,Yuma,30-Mar,31-Mar,
5001,ARKANSAS,AR,Arkansas,-,-,
5003,ARKANSAS,AR,Ashley,-,-,
5005,ARKANSAS,AR,Baxter,-,-,
5007,ARKANSAS,AR,Benton,-,-,
5009,ARKANSAS,AR,Boone,-,-,
5011,ARKANSAS,AR,Bradley,-,-,
5013,ARKANSAS,AR,Calhoun,-,-,
5015,ARKANSAS,AR,Carroll,-,-,
5017,ARKANSAS,AR,Chicot,-,-,
5019,ARKANSAS,AR,Clark,-,-,
5021,ARKANSAS,AR,Clay,-,-,
5023,ARKANSAS,AR,Cleburne,-,-,
5025,ARKANSAS,AR,Cleveland,-,-,
5027,ARKANSAS,AR,Columbia,-,-,
5029,ARKANSAS,AR,Conway,-,-,
5031,ARKANSAS,AR,Craighead,-,-,
5033,ARKANSAS,AR,Crawford,-,-,
5035,ARKANSAS,AR,Crittenden,-,-,
5037,ARKANSAS,AR,Cross,-,-,
5039,ARKANSAS,AR,Dallas,-,-,
5041,ARKANSAS,AR,Desha,-,-,
5043,ARKANSAS,AR,Drew,-,-,
5045,ARKANSAS,AR,Faulkner,-,-,
5047,ARKANSAS,AR,Franklin,-,-,
5049,ARKANSAS,AR,Fulton,-,-,
5051,ARKANSAS,AR,Garland,-,-,
5053,ARKANSAS,AR,Grant,-,-,
5055,ARKANSAS,AR,Greene,-,-,
5057,ARKANSAS,AR,Hempstead,-,-,
5059,ARKANSAS,AR,Hot Spring,-,-,
5061,ARKANSAS,AR,Howard,-,-,
5063,ARKANSAS,AR,Independence,-,-,
5065,ARKANSAS,AR,Izard,-,-,
5067,ARKANSAS,AR,Jackson,-,-,
5069,ARKANSAS,AR,Jefferson,-,-,
5071,ARKANSAS,AR,Johnson,-,-,
5073,ARKANSAS,AR,Lafayette,-,-,
5075,ARKANSAS,AR,Lawrence,-,-,
5077,ARKANSAS,AR,Lee,-,-,
5079,ARKANSAS,AR,Lincoln,-,-,
5081,ARKANSAS,AR,Little River,-,-,
5083,ARKANSAS,AR,Logan,-,-,
5085,ARKANSAS,AR,Lonoke,-,-,
5087,ARKANSAS,AR,Madison,-,-,
5089,ARKANSAS,AR,Marion,-,-,
5091,ARKANSAS,AR,Miller,-,-,
5093,ARKANSAS,AR,Mississippi,-,-,
5095,ARKANSAS,AR,Monroe,-,-,
5097,ARKANSAS,AR,Montgomery,-,-,
5099,ARKANSAS,AR,Nevada,-,-,
5101,ARKANSAS,AR,Newton,-,-,
5103,ARKANSAS,AR,Ouachita,-,-,
5105,ARKANSAS,AR,Perry,-,-,
5107,ARKANSAS,AR,Phillips,-,-,
5109,ARKANSAS,AR,Pike,-,-,
5111,ARKANSAS,AR,Poinsett,-,-,
5113,ARKANSAS,AR,Polk,-,-,
5115,ARKANSAS,AR,Pope,-,-,
5117,ARKANSAS,AR,Prairie,-,-,
5119,ARKANSAS,AR,Pulaski,-,-,
5121,ARKANSAS,AR,Randolph,-,-,
5123,ARKANSAS,AR,St. Francis,-,-,
5125,ARKANSAS,AR,Saline,-,-,
5127,ARKANSAS,AR,Scott,-,-,
5129,ARKANSAS,AR,Searcy,-,-,
5131,ARKANSAS,AR,Sebastian,-,-,
5133,ARKANSAS,AR,Sevier,-,-,
5135,ARKANSAS,AR,Sharp,-,-,
5137,ARKANSAS,AR,Stone,-,-,
5139,ARKANSAS,AR,Union,-,-,
5141,ARKANSAS,AR,Van Buren,-,-,
5143,ARKANSAS,AR,Washington,-,-,
5145,ARKANSAS,AR,White,-,-,
5147,ARKANSAS,AR,Woodruff,-,-,
5149,ARKANSAS,AR,Yell,-,-,
6001,CALIFORNIA,CA,Alameda,19-Mar,19-Mar,
6003,CALIFORNIA,CA,Alpine,19-Mar,19-Mar,
6005,CALIFORNIA,CA,Amador,19-Mar,19-Mar,
6007,CALIFORNIA,CA,Butte,19-Mar,19-Mar,
6009,CALIFORNIA,CA,Calaveras,19-Mar,19-Mar,
6011,CALIFORNIA,CA,Colusa,19-Mar,19-Mar,
6013,CALIFORNIA,CA,Contra Costa,19-Mar,19-Mar,
6015,CALIFORNIA,CA,Del Norte,19-Mar,19-Mar,
6017,CALIFORNIA,CA,El Dorado,19-Mar,19-Mar,
6019,CALIFORNIA,CA,Fresno,19-Mar,19-Mar,
6021,CALIFORNIA,CA,Glenn,19-Mar,19-Mar,
6023,CALIFORNIA,CA,Humboldt,19-Mar,19-Mar,
6025,CALIFORNIA,CA,Imperial,19-Mar,19-Mar,
6027,CALIFORNIA,CA,Inyo,19-Mar,19-Mar,
6029,CALIFORNIA,CA,Kern,19-Mar,19-Mar,
6031,CALIFORNIA,CA,Kings,19-Mar,19-Mar,
6033,CALIFORNIA,CA,Lake,19-Mar,19-Mar,
6035,CALIFORNIA,CA,Lassen,19-Mar,19-Mar,
6037,CALIFORNIA,CA,Los Angeles,19-Mar,19-Mar,
6039,CALIFORNIA,CA,Madera,19-Mar,19-Mar,
6041,CALIFORNIA,CA,Marin,19-Mar,19-Mar,
6043,CALIFORNIA,CA,Mariposa,19-Mar,19-Mar,
6045,CALIFORNIA,CA,Mendocino,19-Mar,19-Mar,
6047,CALIFORNIA,CA,Merced,19-Mar,19-Mar,
6049,CALIFORNIA,CA,Modoc,19-Mar,19-Mar,
6051,CALIFORNIA,CA,Mono,19-Mar,19-Mar,
6053,CALIFORNIA,CA,Monterey,19-Mar,19-Mar,
