fips,cases,deaths
1001.0,1427,82
1003.0,5163,110
1005.0,1057,13
1007.0,1142,4
1009.0,1081,0
1011.0,440,6
1013.0,1953,36
1015.0,3159,73
1017.0,9641,589
1019.0,508,0
1021.0,1757,20
1023.0,1106,0
1025.0,1079,22
1027.0,707,19
1029.0,493,23
1031.0,2934,3
1033.0,985,54
1035.0,298,0
1037.0,906,29
1039.0,1082,20
1041.0,509,1
1043.0,1811,17
1045.0,806,0
1047.0,1479,69
1049.0,2381,51
1051.0,2945,51
1053.0,746,38
1055.0,4251,295
1057.0,170,0
1059.0,2430,11
1061.0,217,0
1063.0,1463,25
1065.0,1307,41
1067.0,701,18
1069.0,2689,105
1071.0,1555,81
1073.0,32166,1243
1075.0,360,0
1077.0,1576,113
1079.0,481,0
1081.0,12740,714
1083.0,1788,0
1085.0,1635,47
1087.0,1048,64
1089.0,8692,143
1091.0,1541,81
1093.0,2540,193
1095.0,9313,168
1097.0,31058,1537
1099.0,390,34
1101.0,10918,222
1103.0,2316,0
1105.0,345,0
1107.0,1547,32
1109.0,1940,0
1111.0,2167,147
1113.0,1728,0
1115.0,2361,6
1117.0,11220,362
1119.0,1880,53
1121.0,1941,50
1123.0,7808,586
1125.0,6753,41
1127.0,3604,0
1129.0,946,52
1131.0,1883,53
1133.0,417,0
2020.0,6488,161
2050.0,35,0
2090.0,3273,69
2110.0,935,0
2122.0,743,6
2130.0,743,0
2150.0,26,0
2170.0,654,28
2180.0,27,0
2195.0,73,0
2198.0,59,0
2220.0,16,0
2240.0,45,0
2261.0,5,0
2290.0,40,0
4001.0,11592,182
4003.0,1073,4
4005.0,15564,1297
4007.0,365,4
4009.0,345,0
4011.0,74,0
4012.0,363,41
4013.0,129092,4325
4015.0,3228,274
4017.0,22242,609
4019.0,39182,2538
4021.0,12472,320
4023.0,905,0
4025.0,3477,59
4027.0,2386,35
5001.0,82,0
5003.0,479,0
5005.0,191,0
5007.0,3312,0
5009.0,164,0
5011.0,350,23
5015.0,134,0
5017.0,292,0
5019.0,1303,0
5021.0,68,0
5023.0,3358,174
5025.0,407,0
5027.0,311,20
5029.0,341,45
5031.0,2233,11
5033.0,171,0
5035.0,5750,159
5037.0,547,0
5039.0,38,0
5041.0,451,0
5043.0,427,32
5045.0,2887,69
5047.0,53,0
5049.0,33,0
5051.0,4108,6
5053.0,457,0
5055.0,512,0
5057.0,200,33
5059.0,512,0
5061.0,456,1
5063.0,361,0
5065.0,168,0
5067.0,29,0
5069.0,5917,350
5071.0,913,0
5073.0,205,16
5075.0,1369,70
5077.0,114,28
5079.0,17462,53
5083.0,90,1
5085.0,1326,0
5087.0,34,0
5089.0,32,0
5091.0,1108,20
5093.0,636,0
5095.0,118,0
5097.0,14,0
5099.0,57,0
5101.0,87,0
5103.0,215,0
5105.0,179,0
5107.0,143,30
5109.0,119,0
5111.0,602,25
5113.0,294,0
5115.0,1400,0
5117.0,76,0
5119.0,16901,554
5121.0,529,0
5123.0,2866,0
5125.0,1999,37
5127.0,42,0
5129.0,271,0
5131.0,499,0
5133.0,414,13
5135.0,170,6
5137.0,314,0
5139.0,1444,10
5141.0,1183,76
5143.0,2657,56
5145.0,1273,22
5147.0,49,0
5149.0,115,8
6001.0,54092,1777
6003.0,64,0
6005.0,247,0
6007.0,679,0
6009.0,444,0
6011.0,121,0
6013.0,30781,802
6015.0,94,0
6017.0,1678,0
6019.0,17420,247
6021.0,173,0
6023.0,2255,0
6025.0,9566,202
6027.0,710,19
6029.0,28156,231
6031.0,3318,31
6033.0,211,0
6037.0,690791,30112
6039.0,1813,85
6041.0,8968,454
6043.0,162,0
6045.0,364,0
6047.0,3861,105
6051.0,1033,42
6053.0,6515,174
6055.0,2209,82
6057.0,1602,39
6059.0,80205,1501
6061.0,6036,293
6063.0,151,0
6065.0,117779,4238
6067.0,37630,1467
