county,state,fips,cases,deaths
Abbeville,South Carolina,45001.0,792,0
Acadia,Louisiana,22001.0,4544,265
Accomack,Virginia,51001.0,6177,92
Ada,Idaho,16001.0,23813,464
Adair,Iowa,19001.0,66,0
Adair,Kentucky,21001.0,2037,227
Adair,Missouri,29001.0,465,0
Adair,Oklahoma,40001.0,1779,93
Adams,Colorado,8001.0,44688,1714
Adams,Idaho,16003.0,83,0
Adams,Illinois,17001.0,1121,10
Adams,Indiana,18001.0,251,29
Adams,Mississippi,28001.0,3563,208
Adams,Nebraska,31001.0,4297,61
Adams,Ohio,39001.0,137,0
Adams,Pennsylvania,42001.0,3615,82
Adams,Washington,53001.0,1621,0
Adams,Wisconsin,55001.0,126,27
Addison,Vermont,50001.0,2316,52
Aiken,South Carolina,45003.0,2927,154
Aitkin,Minnesota,27001.0,27,0
Alachua,Florida,12001.0,9292,68
Alamance,North Carolina,37001.0,2802,36
Alameda,California,6001.0,51970,1702
Alamosa,Colorado,8003.0,404,64
Albany,New York,36001.0,33165,1578
Albany,Wyoming,56001.0,248,0
Albemarle,Virginia,51003.0,2836,73
Alcona,Michigan,26001.0,86,11
Alcorn,Mississippi,28003.0,317,12
Alexander,Illinois,17003.0,82,0
Alexander,North Carolina,37003.0,153,0
Alexandria city,Virginia,51510.0,19861,483
Alfalfa,Oklahoma,40003.0,28,0
Allamakee,Iowa,19005.0,2156,102
Allegan,Michigan,26005.0,2347,29
Allegany,Maryland,24001.0,2551,156
Allegany,New York,36003.0,1178,7
Alleghany,North Carolina,37005.0,130,0
Alleghany,Virginia,51005.0,176,0
Allegheny,Pennsylvania,42003.0,42979,2300
Allen,Indiana,18003.0,14641,1126
Allen,Kentucky,21003.0,333,0
Allen,Louisiana,22003.0,3026,305
Allen,Ohio,39003.0,3124,497
Allendale,South Carolina,45005.0,328,27
Alpena,Michigan,26007.0,1472,99
Alpine,California,6003.0,62,0
Amador,California,6005.0,240,0
Amelia,Virginia,51007.0,499,20
Amherst,Virginia,51009.0,427,4
Amite,Mississippi,28005.0,782,22
Anchorage,Alaska,2020.0,6293,157
Anderson,Kansas,20003.0,2,0
Anderson,Kentucky,21005.0,261,51
Anderson,South Carolina,45007.0,5367,228
Anderson,Tennessee,47001.0,834,33
Anderson,Texas,48001.0,606,0
Andrew,Missouri,29003.0,79,0
Andrews,Texas,48003.0,607,0
Androscoggin,Maine,23001.0,1664,42
Angelina,Texas,48005.0,1480,0
Anne Arundel,Maryland,24003.0,48441,2138
Anoka,Minnesota,27003.0,6644,270
Anson,North Carolina,37007.0,705,0
Antelope,Nebraska,31003.0,84,0
Antrim,Michigan,26009.0,330,1
Apache,Arizona,4001.0,10865,172
Appanoose,Iowa,19007.0,96,66
Appling,Georgia,13001.0,1559,123
Appomattox,Virginia,51011.0,439,0
Aransas,Texas,48007.0,68,0
Arapahoe,Colorado,8005.0,71425,3545
Archuleta,Colorado,8007.0,265,0
Arenac,Michigan,26011.0,538,21
Arkansas,Arkansas,5001.0,80,0
Arlington,Virginia,51013.0,26974,935
Armstrong,Pennsylvania,42005.0,1448,61
Armstrong,Texas,48011.0,43,0
Aroostook,Maine,23003.0,128,0
Ascension,Louisiana,22005.0,20708,1180
Ashe,North Carolina,37009.0,155,0
Ashland,Ohio,39005.0,266,0
Ashland,Wisconsin,55003.0,70,0
Ashley,Arkansas,5003.0,461,0
Ashtabula,Ohio,39007.0,3282,297
Asotin,Washington,53003.0,457,34
Assumption,Louisiana,22007.0,5755,121
Atascosa,Texas,48013.0,497,23
Atchison,Kansas,20005.0,252,0
Atchison,Missouri,29005.0,72,0
Athens,Ohio,39009.0,147,42
Atkinson,Georgia,13003.0,272,12
Atlantic,New Jersey,34001.0,23899,1035
Atoka,Oklahoma,40005.0,39,0
Attala,Mississippi,28007.0,2746,25
Audrain,Missouri,29007.0,23,0
Audubon,Iowa,19009.0,98,0
Auglaize,Ohio,39011.0,920,75
Augusta,Virginia,51015.0,1144,18
Aurora,South Dakota,46003.0,46,0
Austin,Texas,48015.0,433,0
Autauga,Alabama,1001.0,1343,78
Avoyelles,Louisiana,22009.0,2598,174
Baca,Colorado,8009.0,406,0
Bacon,Georgia,13005.0,784,25
Bailey,Texas,48017.0,12,0
Baker,Florida,12003.0,784,90
Baker,Georgia,13007.0,718,82
Baker,Oregon,41001.0,5,0
Baldwin,Alabama,1003.0,4939,104
Baldwin,Georgia,13009.0,5435,190
Ballard,Kentucky,21007.0,181,0
Baltimore,Maryland,24005.0,81551,2931
Baltimore city,Maryland,24510.0,61530,2625
Bamberg,South Carolina,45009.0,337,0
Bandera,Texas,48019.0,141,0
Banks,Georgia,13011.0,648,0
Bannock,Idaho,16005.0,315,0
Baraga,Michigan,26013.0,25,0
Barber,Kansas,20007.0,34,0
Barbour,Alabama,1005.0,996,12
Barbour,West Virginia,54001.0,179,18
Barnes,North Dakota,38003.0,127,0
Barnstable,Massachusetts,25001.0,27721,1156
Barnwell,South Carolina,45011.0,491,0
Barren,Kentucky,21009.0,428,0
Barron,Wisconsin,55005.0,234,0
Barrow,Georgia,13013.0,4027,147
Barry,Michigan,26015.0,949,28
Barry,Missouri,29009.0,150,0
Bartholomew,Indiana,18005.0,6815,385
Barton,Kansas,20009.0,292,5
Bartow,Georgia,13015.0,11593,897
Bastrop,Texas,48021.0,2094,59
Bates,Missouri,29013.0,225,28
Bath,Kentucky,21011.0,116,11
Baxter,Arkansas,5005.0,186,0
Bay,Florida,12005.0,2116,75
Bay,Michigan,26017.0,3879,124
Bayfield,Wisconsin,55007.0,138,23
Beadle,South Dakota,46005.0,1016,71
Beaufort,North Carolina,37013.0,640,0
Beaufort,South Carolina,45013.0,9271,315
Beauregard,Louisiana,22011.0,1332,79
Beaver,Oklahoma,40007.0,202,0
Beaver,Pennsylvania,42007.0,11288,1509
Beaverhead,Montana,30001.0,37,0
Becker,Minnesota,27005.0,193,0
Beckham,Oklahoma,40009.0,121,0
Bedford,Pennsylvania,42009.0,603,30
Bedford,Tennessee,47003.0,4081,66
Bedford,Virginia,51019.0,846,4
Bee,Texas,48025.0,156,0
Belknap,New Hampshire,33001.0,1232,0
Bell,Texas,48027.0,5671,113
Belmont,Ohio,39013.0,3886,168
Beltrami,Minnesota,27007.0,232,0
Ben Hill,Georgia,13017.0,734,0
Bennington,Vermont,50003.0,1654,33
Benson,North Dakota,38005.0,8,0
Bent,Colorado,8011.0,1,0
Benton,Arkansas,5007.0,3189,0
Benton,Indiana,18007.0,196,0
Benton,Iowa,19011.0,933,34
Benton,Minnesota,27009.0,650,13
Benton,Mississippi,28009.0,337,0
Benton,Missouri,29015.0,189,0
Benton,Oregon,41003.0,1192,147
Benton,Tennessee,47005.0,214,18
Benton,Washington,53005.0,14840,1371
Benzie,Michigan,26019.0,94,0
Bergen,New Jersey,34003.0,502516,31043
